"ContentID","ContentType","MimeType","BookID","BookTitle","ImageId","Title","Attribution","Description","DateCreated","ShortCoverKey","adobe_location","Publisher","IsEncrypted","DateLastRead","FirstTimeReading","ChapterIDBookmarked","ParagraphBookmarked","BookmarkWordOffset","NumShortcovers","VolumeIndex","___NumPages","ReadStatus","___SyncTime","___UserID","PublicationId","___FileOffset","___FileSize","___PercentRead","___ExpirationStatus","FavouritesIndex","Accessibility","ContentURL","Language","BookshelfTags","IsDownloaded","FeedbackType","AverageRating","Depth","PageProgressDirection","InWishlist","ISBN","WishlistedDate","FeedbackTypeSynced","IsSocialEnabled","EpubType","Monetization","ExternalId","Series","SeriesNumber","Subtitle","WordCount","Fallback","RestOfBookEstimate","CurrentChapterEstimate","CurrentChapterProgress","PocketStatus","UnsyncedPocketChanges","ImageUrl","DateAdded","WorkId","Properties","RenditionSpread","RatingCount","ReviewsSyncDate","MediaOverlay","MediaOverlayType","RedirectPreviewUrl","PreviewFileSize","EntitlementId","CrossRevisionId","DownloadUrl","ReadStateSynced","TimesStartedReading","TimeSpentReading","LastTimeStartedReading","LastTimeFinishedReading","ApplicableSubscriptions","ExternalIds","PurchaseRevisionId","SeriesID","SeriesNumberFloat","AdobeLoanExpiration","HideFromHomePage","IsInternetArchive","titleKana","subtitleKana","seriesKana","attributionKana","publisherKana","IsPurchaseable","IsSupported","AnnotationsSyncToken","DateModified","StorePages","StoreWordCount","StoreTimeToReadLowerEstimate","StoreTimeToReadUpperEstimate","Duration","IsAbridged","SyncConflictType"
"file:///mnt/onboard/Literature/Pourquoi lire - 13 bonnes raisons (au moins) (Annie Ernaux, Philippe Garnier, Jürgen Habermas etc.) (Z-Library).epub#(0)OEBPS/Text/Cover.xhtml","9","application/epub+zip","file:///mnt/onboard/Literature/Pourquoi lire - 13 bonnes raisons (au moins) (Annie Ernaux, Philippe Garnier, Jürgen Habermas etc.) (Z-Library).epub","Pourquoi lire","null","Couverture","null","null","null","null","OEBPS/Text/Cover.xhtml","null","false","null","true","null","0","0","null","0","-1","0","2024-11-08T00:10:14Z","adobe_user","null","0","0","0","null","-1","-1","null","null","null","1","0","0","1","null","FALSE","null","null","0","true","-1","2","null","null","null","null","-1","null","null","null","null","0","null","null","null","null","null","null","0","null","null","null","null","null","null","null","null","false","null","null","null","null","null","null","null","null","null","null","null","FALSE","null","null","null","null","null","true","true","null","null","0","0","0","0","0","null","0"
"file:///mnt/onboard/Literature/Pourquoi lire - 13 bonnes raisons (au moins) (Annie Ernaux, Philippe Garnier, Jürgen Habermas etc.) (Z-Library).epub","6","application/epub+zip","null","null","file____mnt_onboard_Literature_Pourquoi_lire_-_13_bonnes_raisons_(au_moins)_(Annie_Ernaux,_Philippe_Garnier,_Jürgen_Habermas_etc_)_(Z-Library)_epub","Pourquoi lire","Annie Ernaux, Philippe Garnier, Joelle Zask, Jurgen Habermas, Hartmut Rosa, Eva Illouz, Frédéric Joly, Esther Kinsky, Sibylle Lewitscharoff, Nicolas Mahler, Oliver Nachtwey, Katja Petrowskaja, Clemens Setz",""" Joyeuse chasse aux livres ! "" Ainsi l'écrivaine Sibylle Lewitscharoff souhaite-t-elle la bienvenue au lecteur de ce volume. Une chasse aux livres, comme un jeu enfantin dont émanerait une joie mêlée d'ivresse. Par un mystérieux sortilège, il suffirait qu'on en trouve un pour que trois autres apparaissent à sa place. On en aurait pour toute une vie.
Ici, la partie de chasse se joue à treize. Treize écrivains – romanciers, philosophes, sociologues, essayistes, mais aussi un auteur de bande dessinée – se lancent à la poursuite des livres pour dire le miracle de la lecture et expliciter le sens qu'elle revêt dans nos sociétés.
À les lire, le geste d'ouvrir un livre semble relever d'une aventure inépuisable, profondément singulière. Car lire, ce n'est pas – du moins pas seulement – cette activité tellement encouragée qu'elle en deviendrait presque suspecte. Elle peut bel et bien engager "" la totalité de l'être "", comme l'écrit Annie Ernaux.
C'est cet engagement que décrivent, de manière tour à tour intime et théorique, les contributeurs de ce volume.
Vous tenez ainsi entre vos mains une bibliothèque aux portes dérobées. Chacune mène vers d'autres bibliothèques et d'autres portes dérobées.
Les raisons de lire sont innombrables.
En voici déjà treize.","null","null","null","null","false","2024-11-16T09:36:35Z","false","OEBPS/Text/Chap1.xhtml#point(/1/4/2/8/1:0)","0","0","22","-1","0","1","2024-11-08T00:10:14Z","adobe_user","null","null","5525196","5","0","-1","-1","null","fr-FR","null","true","0","0","0","default","FALSE","urn:uuid:63cc1b7f-24ae-49ce-b813-6590c24f8348","null","0","true","-1","2","null","null","null","null","-1","null","0","0","0","0","","null","null","null","null","null","0","null","null","null","false","0","","null","false","false","0","2685","null","null","null","null","null","null","0","null","false","false","null","null","null","null","null","true","true","null","null","0","0","0","0","0","false","0"
